n_clusters,rho_min,misses_count,misses_over_total_edges,misses_over_total_high_corr
8,0.7000000000000001,2808,0.0388054338663092,0.7934444758406329
8,0.75,1702,0.02352095742181562,0.7588051716451182
8,0.8,950,0.013128619007476403,0.7126781695423856
8,0.8500000000000001,426,0.005887149154931524,0.570281124497992
8,0.9,142,0.0019623830516438414,0.3279445727482679
8,0.9500000000000001,24,0.00033167037492571965,0.08135593220338982
9,0.0,40934,0.5656914636337254,0.8695855373568713
9,0.05,33804,0.4671577230828761,0.8665692532492502
9,0.1,29376,0.40596453890908085,0.8649412596060418
9,0.15000000000000002,26072,0.3603045839609735,0.864714271500116
9,0.2,22732,0.31414712345047746,0.8633170027723975
9,0.25,19820,0.2739044512928235,0.8621514637435295
9,0.30000000000000004,17812,0.24615469659070494,0.8624412918220113
9,0.35000000000000003,15956,0.22050552092978262,0.8615085578532476
9,0.4,14032,0.19391661253990408,0.8586989780307203
9,0.45,11960,0.1652824035046503,0.8538587848932676
9,0.5,9748,0.13471345061566314,0.8484637479328053
9,0.55,7568,0.1045867248932436,0.8411692786484384
9,0.6000000000000001,5720,0.07904810602396319,0.832
9,0.65,4140,0.05721313967468664,0.8189910979228486
9,0.7000000000000001,2834,0.039164743439145396,0.8007911839502685
9,0.75,1696,0.02343803982808419,0.756130182790905
9,0.8,910,0.01257583504926687,0.6826706676669168
9,0.8500000000000001,416,0.00574895316537914,0.5568942436412316
9,0.9,140,0.0019347438537333647,0.3233256351039261
9,0.9500000000000001,22,0.00030403117701524303,0.07457627118644068
